"keys","en","de","uk"
"THE_NEXT_STATION_IS_2","It is","Sie ist","Відстань:"
"THE_NEXT_STATION_IS_3","away.","entfernt.","."
,,,
"TRAIN_INFORMATION","Train Information:","Zug-Informationen:","Інформація про поїзд:"
"PRESS_F2_TO_CLOSE","(Press 'F2' to close this window)","(Drücken Sie 'F2', um das Fenster zu schließen.)","(Натисни ‘F2’, щоб закрити вікно)"
"TRAIN_INFO_PANTOGRAPH","Pantograph (press 'b' and wait a few seconds)","Pantograf ('b' drücken, und ein paar Sekunden warten)","Пантограф (натисни ‘b’ і зачекай декілька секунд)"
"TRAIN_INFO_SIFA","SiFa (every 30 seconds you have to press 'space')","SiFa (alle 30 Sekunden müssen Sie die Leertaste drücken)","SiFa (кожні 30 секунд ти мусиш натискати 'space')"
"TRAIN_INFO_ENFORCED_BREAKING","Enforced Breaking: (check pantograpgh, red signal, speed limit, SiFa","Zwangsbremsung: (Checken Pantograf, überfahrenes rotes Signal, Geschwindigkeitslimit, SiFa)","Аварійне гальмування: (перевірте пантограф, червоний сигнал, перевищення швидкості, SiFa)"
"TRAIN_INFO_BRAKES_1","Brakes: (release with left arrow; check Enforced Breaking)","Bremsen: (Lösen: Pfeiltaste nach oben/links, Anwenden: Pfeiltaste nach unten; Checken: Zwangsbremsung.)","Гальмування: (відпустити за допомогою стрілки вліво; перевірте аварійне  гальмування)"
"TRAIN_INFO_BRAKES_2","Brakes: (release with 'a', apply with 'd', check Enforced Breaking)","Bremsen: (Lösen: 'a', Betätigen: 'd'; Checken: Zwangsbremsung.)","Гальмування: (відпустити на ‘a’, додати на ‘d’; перевірте аварійне гальмування)"
"TRAIN_INFO_DOORS","Doors: (close with 'o', open right with 'p', open left with 'i","Türen: (Schließen: 'o', Rechte Seite öffnen: 'p', Linke Seite öffnen: 'i')","Двері: (закрити на ‘o’, відкрити справа на ‘p’, відкрити зліва на ‘i’)"
"TRAIN_INFO_ACCELERATION_1","Acceleration: (Apply: up/right arrow key; Release: left/down arrow key; check doors)","Beschleunigung: (Erhöhen: Pfeiltaste nach oben/rechts, Verringern: Pfeiltaste nach unten/links; Checken: Türen)","Прискорення: (додати: стрілка вверх/вправо; відпустити: стрілка вліво/вниз; перевірте двері)"
"TRAIN_INFO_ACCELERATION_2","Acceleration: (Apply: 'w', Release: 's'; Check: brakes, doors) (try with releasing full acceleration first/setting acceleration to zero)","Beschleunigung: (Erhöhen: 'w', Verringern: 's'; Check: Bremsen, Türen) (Versuchen Sie die Beschleunigung auf Null zu setzen)","Прискорення: (додати: ‘w’; відпустити: ‘s’; перевірте: гальма, двері) (спробуйте відпустити  гальма/знизити швидкість до нуля)"
"TRAIN_INFO_HORN","Horn: ('h')","Hupe: ('h')","Гудок: (‘h’)"
"TRAIN_INFO_FRONT_LIGHT","Front Light: ('L')","Spitzenlicht: ('L')","Переднє світло (‘L’)"
"TRAIN_INFO_CABIN_LIGHT","Cabin Light: ('Ctrl' + 'L')","Kabinenlicht: ('Strg' + 'L')","Світло в кабіні ('Ctrl' + 'L')"
"TRAIN_INFO_AUTOPILOT","Autopilot ('Ctrl' +  'a')","Autopilot ('Strg' + 'a')","Автопілот  ('Ctrl' +  'a')"
